ROI,Sequence,Approach,MD
Splenium,NowLteDetuned,QTI,1.0168345
Splenium,NowLteDetuned,QTI,0.70283055
Splenium,NowLteDetuned,QTI,0.70916724
Splenium,NowLteDetuned,QTI,0.7215825
Splenium,NowLteDetuned,QTI,0.72982854
Splenium,NowLteDetuned,QTI,0.8386196
Splenium,NowLteDetuned,QTI,1.1440144
Splenium,NowLteDetuned,QTI,0.6597041
Splenium,NowLteDetuned,QTI,0.6279033
Splenium,NowLteDetuned,QTI,0.6400178
Splenium,NowLteDetuned,QTI,0.6975291
Splenium,NowLteDetuned,QTI,0.74761546
Splenium,NowLteDetuned,QTI,0.7959857
Splenium,NowLteDetuned,QTI,1.40389
Splenium,NowLteDetuned,QTI,0.8123422
Splenium,NowLteDetuned,QTI,0.6469351
Splenium,NowLteDetuned,QTI,0.6132686
Splenium,NowLteDetuned,QTI,0.68876904
Splenium,NowLteDetuned,QTI,0.74287546
Splenium,NowLteDetuned,QTI,0.7828004
Splenium,NowLteDetuned,QTI,1.1800503
Splenium,NowLteDetuned,QTI,0.6840766
Splenium,NowLteDetuned,QTI,0.72877914
Splenium,NowLteDetuned,QTI,0.7995314
Splenium,NowLteDetuned,QTI,0.7559657
Splenium,NowLteDetuned,QTI,0.77894664
Splenium,NowLteDetuned,QTI,0.7618559
Splenium,NowLteDetuned,QTI,0.771719
Splenium,NowLteDetuned,QTI,0.79895484
Splenium,NowLteDetuned,QTI,0.85328424
Splenium,NowLteDetuned,QTI,0.8317522
Splenium,NowLteDetuned,QTI,0.84909195
Splenium,NowLteDetuned,QTI,0.8746181
Splenium,NowLteDetuned,QTI,0.83330166
Splenium,NowLteDetuned,QTI,0.74817854
Splenium,NowLteDetuned,QTI,0.7786537
Splenium,NowLteDetuned,QTI,0.8241866
Splenium,NowLteDetuned,QTI,0.75949514
Splenium,NowLteDetuned,QTI,0.7086955
Splenium,NowLteDetuned,QTI,0.74280745
Splenium,NowLteDetuned,QTI,0.78492445
Splenium,NowLteDetuned,QTI,0.7372235
Splenium,NowLteDetuned,QTI,0.75301486
Splenium,NowLteDetuned,QTI,0.7715513
Splenium,NowLteDetuned,QTI,0.7714279
Splenium,NowLteDetuned,QTI,0.8027849
Splenium,NowLteDetuned,QTI,0.84630674
Splenium,NowLteDetuned,QTI,0.65210843
Splenium,NowLteDetuned,QTI,0.69750863
Splenium,NowLteDetuned,QTI,0.6153452
Splenium,NowLteDetuned,QTI,0.6837918
Splenium,NowLteDetuned,QTI,0.7459645
Splenium,NowLteDetuned,QTI,0.80525625
Splenium,NowLteDetuned,QTI,0.8460497
Splenium,NowLteDetuned,QTI,0.84387124
Splenium,NowLteDetuned,QTI,0.68063897
Splenium,NowLteDetuned,QTI,0.7240754
Splenium,NowLteDetuned,QTI,0.7604899
Splenium,NowLteDetuned,QTI,0.80195516
Splenium,NowLteDetuned,QTI,0.82697415
Splenium,NowLteDetuned,QTI,0.8245593
Splenium,NowLteDetuned,QTI,0.82762045
Splenium,NowLteDetuned,QTI,0.7999496
Splenium,NowLteDetuned,QTI,0.79631495
