ROI,Sequence,Approach,OP
Splenium,NowLteDetuned,QTI,0.47371975
Splenium,NowLteDetuned,QTI,0.38742042
Splenium,NowLteDetuned,QTI,0.49417266
Splenium,NowLteDetuned,QTI,0.51276815
Splenium,NowLteDetuned,QTI,0.49770755
Splenium,NowLteDetuned,QTI,0.45435363
Splenium,NowLteDetuned,QTI,0.38195378
Splenium,NowLteDetuned,QTI,0.3480634
Splenium,NowLteDetuned,QTI,0.45963147
Splenium,NowLteDetuned,QTI,0.4950502
Splenium,NowLteDetuned,QTI,0.53900325
Splenium,NowLteDetuned,QTI,0.51626414
Splenium,NowLteDetuned,QTI,0.42435974
Splenium,NowLteDetuned,QTI,0.3873275
Splenium,NowLteDetuned,QTI,0.39834103
Splenium,NowLteDetuned,QTI,0.46858266
Splenium,NowLteDetuned,QTI,0.51085556
Splenium,NowLteDetuned,QTI,0.5712581
Splenium,NowLteDetuned,QTI,0.55176055
Splenium,NowLteDetuned,QTI,0.45495614
Splenium,NowLteDetuned,QTI,0.41749364
Splenium,NowLteDetuned,QTI,0.4224874
Splenium,NowLteDetuned,QTI,0.55520916
Splenium,NowLteDetuned,QTI,0.5392472
Splenium,NowLteDetuned,QTI,0.46046996
Splenium,NowLteDetuned,QTI,0.42724183
Splenium,NowLteDetuned,QTI,0.4848202
Splenium,NowLteDetuned,QTI,0.68520886
Splenium,NowLteDetuned,QTI,0.7145627
Splenium,NowLteDetuned,QTI,0.7311165
Splenium,NowLteDetuned,QTI,0.71670353
Splenium,NowLteDetuned,QTI,0.49741882
Splenium,NowLteDetuned,QTI,0.69568527
Splenium,NowLteDetuned,QTI,0.63981456
Splenium,NowLteDetuned,QTI,0.5775238
Splenium,NowLteDetuned,QTI,0.8192913
Splenium,NowLteDetuned,QTI,0.8011762
Splenium,NowLteDetuned,QTI,0.7297292
Splenium,NowLteDetuned,QTI,0.6620479
Splenium,NowLteDetuned,QTI,0.82538694
Splenium,NowLteDetuned,QTI,0.84219056
Splenium,NowLteDetuned,QTI,0.76703084
Splenium,NowLteDetuned,QTI,0.70020723
Splenium,NowLteDetuned,QTI,0.8067988
Splenium,NowLteDetuned,QTI,0.7386759
Splenium,NowLteDetuned,QTI,0.6779421
Splenium,NowLteDetuned,QTI,0.6351861
Splenium,NowLteDetuned,QTI,0.57067084
Splenium,NowLteDetuned,QTI,0.5840551
Splenium,NowLteDetuned,QTI,0.24081776
Splenium,NowLteDetuned,QTI,0.34302098
Splenium,NowLteDetuned,QTI,0.13250305
Splenium,NowLteDetuned,QTI,0.2503331
Splenium,NowLteDetuned,QTI,0.37242854
Splenium,NowLteDetuned,QTI,0.5479596
Splenium,NowLteDetuned,QTI,0.6790827
Splenium,NowLteDetuned,QTI,0.70367587
Splenium,NowLteDetuned,QTI,0.15247144
Splenium,NowLteDetuned,QTI,0.32546794
Splenium,NowLteDetuned,QTI,0.46995035
Splenium,NowLteDetuned,QTI,0.5692095
Splenium,NowLteDetuned,QTI,0.6538798
Splenium,NowLteDetuned,QTI,0.6997767
Splenium,NowLteDetuned,QTI,0.7222043
Splenium,NowLteDetuned,QTI,0.13472138
Splenium,NowLteDetuned,QTI,0.22456114
Splenium,NowLteDetuned,QTI,0.3909946
Splenium,NowLteDetuned,QTI,0.52461404
Splenium,NowLteDetuned,QTI,0.5825335
Splenium,NowLteDetuned,QTI,0.6403175
Splenium,NowLteDetuned,QTI,0.69583786
Splenium,NowLteDetuned,QTI,0.7300259
Splenium,NowLteDetuned,QTI,0.7491673
Splenium,NowLteDetuned,QTI,0.0662777
Splenium,NowLteDetuned,QTI,0.19398874
Splenium,NowLteDetuned,QTI,0.31150883
Splenium,NowLteDetuned,QTI,0.44487715
Splenium,NowLteDetuned,QTI,0.5478991
Splenium,NowLteDetuned,QTI,0.60816586
Splenium,NowLteDetuned,QTI,0.6552467
Splenium,NowLteDetuned,QTI,0.6913533
Splenium,NowLteDetuned,QTI,0.7309244
Splenium,NowLteDetuned,QTI,0.7683986
Splenium,NowLteDetuned,QTI,0.7026182
Splenium,NowLteDetuned,QTI,0.60497594
Splenium,NowLteDetuned,QTI,0.06911326
Splenium,NowLteDetuned,QTI,0.10740751
Splenium,NowLteDetuned,QTI,0.26412708
Splenium,NowLteDetuned,QTI,0.39365423
Splenium,NowLteDetuned,QTI,0.5069827
Splenium,NowLteDetuned,QTI,0.591352
Splenium,NowLteDetuned,QTI,0.6469908
Splenium,NowLteDetuned,QTI,0.66898805
Splenium,NowLteDetuned,QTI,0.6735543
Splenium,NowLteDetuned,QTI,0.71795297
Splenium,NowLteDetuned,QTI,0.7722432
Splenium,NowLteDetuned,QTI,0.7186153
