ROI,Sequence,Approach,MD
Splenium,dti,dti,0.00071925827
Splenium,dti,dti,0.0007449611
Splenium,dti,dti,0.0007060929
Splenium,dti,dti,0.00069050153
Splenium,dti,dti,0.0007128567
Splenium,dti,dti,0.00073045085
Splenium,dti,dti,0.0007180817
Splenium,dti,dti,0.0011601723
Splenium,dti,dti,0.00081398035
Splenium,dti,dti,0.00074513257
Splenium,dti,dti,0.0007135178
Splenium,dti,dti,0.00072426663
Splenium,dti,dti,0.0007313555
Splenium,dti,dti,0.0007133144
Splenium,dti,dti,0.00083483
Splenium,dti,dti,0.000738435
Splenium,dti,dti,0.00071928534
Splenium,dti,dti,0.000703016
Splenium,dti,dti,0.0007007956
Splenium,dti,dti,0.0007182083
Splenium,dti,dti,0.00094446715
Splenium,dti,dti,0.00069870363
Splenium,dti,dti,0.0006775404
Splenium,dti,dti,0.00066260487
Splenium,dti,dti,0.00068325415
Splenium,dti,dti,0.000697764
Splenium,dti,dti,0.0006970067
Splenium,dti,dti,0.0010741312
Splenium,dti,dti,0.0005969887
Splenium,dti,dti,0.0006007802
Splenium,dti,dti,0.00061158434
Splenium,dti,dti,0.00066203397
Splenium,dti,dti,0.00069500273
Splenium,dti,dti,0.0006843013
Splenium,dti,dti,0.00076015823
Splenium,dti,dti,0.00063949847
Splenium,dti,dti,0.0006577964
Splenium,dti,dti,0.00066988065
Splenium,dti,dti,0.00066576793
Splenium,dti,dti,0.00068755925
Splenium,dti,dti,0.0007079764
Splenium,dti,dti,0.0007279067
Splenium,dti,dti,0.0007196317
Splenium,dti,dti,0.00075870554
Splenium,dti,dti,0.0007567717
Splenium,dti,dti,0.00075301016
Splenium,dti,dti,0.0007550955
Splenium,dti,dti,0.00073589664
Splenium,dti,dti,0.00074972276
Splenium,dti,dti,0.0007506519
Splenium,dti,dti,0.000758516
Splenium,dti,dti,0.00073058123
Splenium,dti,dti,0.0007409573
Splenium,dti,dti,0.000744142
Splenium,dti,dti,0.00075548154
Splenium,dti,dti,0.0007232433
Splenium,dti,dti,0.00072475604
Splenium,dti,dti,0.0007344942
Splenium,dti,dti,0.00072118983
Splenium,dti,dti,0.00073665957
Splenium,dti,dti,0.00074274535
Splenium,dti,dti,0.0007245474
Splenium,dti,dti,0.0007263816
Splenium,dti,dti,0.0007328214
Splenium,dti,dti,0.0007535
Splenium,dti,dti,0.000763031
Splenium,dti,dti,0.0007648101
Splenium,dti,dti,0.0007654851
Splenium,dti,dti,0.0007659534
Splenium,dti,dti,0.0007217216
Splenium,dti,dti,0.000779896
Splenium,dti,dti,0.0007929525
Splenium,dti,dti,0.0007739385
Splenium,dti,dti,0.0007624677
Splenium,dti,dti,0.0007541003
Splenium,dti,dti,0.0007470944
Splenium,dti,dti,0.0007252727
Splenium,dti,dti,0.0007423146
Splenium,dti,dti,0.0007818309
Splenium,dti,dti,0.00078297075
Splenium,dti,dti,0.00075657933
Splenium,dti,dti,0.00074661156
Splenium,dti,dti,0.0007429612
Splenium,dti,dti,0.00073664734
Splenium,dti,dti,0.00072949677
Splenium,dti,dti,0.00073971774
Splenium,dti,dti,0.0007421453
Splenium,dti,dti,0.0007509687
Splenium,dti,dti,0.00076786673
Splenium,dti,dti,0.0007606684
Splenium,dti,dti,0.0007355364
Splenium,dti,dti,0.0007308893
Splenium,dti,dti,0.00073406665
Splenium,dti,dti,0.00072988425
Splenium,dti,dti,0.00072405895
Splenium,dti,dti,0.0007216226
Splenium,dti,dti,0.00072056236
Splenium,dti,dti,0.00075881154
Splenium,dti,dti,0.00076250924
Splenium,dti,dti,0.0007405681
Splenium,dti,dti,0.00073015725
Splenium,dti,dti,0.00073150406
Splenium,dti,dti,0.0007299548
Splenium,dti,dti,0.0007254924
Splenium,dti,dti,0.00072968384
Splenium,dti,dti,0.00073808443
Splenium,dti,dti,0.00073603756
Splenium,dti,dti,0.00073237787
Splenium,dti,dti,0.0007252876
Splenium,dti,dti,0.0007190401
Splenium,dti,dti,0.0007236474
Splenium,dti,dti,0.0007598251
Splenium,dti,dti,0.0007711071
Splenium,dti,dti,0.00074444636
Splenium,dti,dti,0.00073226495
Splenium,dti,dti,0.0007339942
Splenium,dti,dti,0.00073197205
Splenium,dti,dti,0.000728096
Splenium,dti,dti,0.00072764704
Splenium,dti,dti,0.000730752
Splenium,dti,dti,0.0007263809
Splenium,dti,dti,0.0007210856
Splenium,dti,dti,0.00071732025
Splenium,dti,dti,0.00071356737
Splenium,dti,dti,0.000715353
Splenium,dti,dti,0.0007900022
Splenium,dti,dti,0.00079560577
Splenium,dti,dti,0.0007557576
Splenium,dti,dti,0.0007264966
Splenium,dti,dti,0.00070520164
Splenium,dti,dti,0.0006958959
Splenium,dti,dti,0.00068816467
Splenium,dti,dti,0.0006974999
Splenium,dti,dti,0.00070549734
Splenium,dti,dti,0.0007055088
Splenium,dti,dti,0.0007101319
Splenium,dti,dti,0.00096637465
Splenium,dti,dti,0.00089394103
Splenium,dti,dti,0.0008030344
Splenium,dti,dti,0.00071226544
Splenium,dti,dti,0.0006930384
Splenium,dti,dti,0.0006843196
Splenium,dti,dti,0.00069348514
Splenium,dti,dti,0.0007015446
