ROI,Sequence,Approach,FA
Splenium,NowLteDetuned,QTI,0.7400303
Splenium,NowLteDetuned,QTI,0.7415232
Splenium,NowLteDetuned,QTI,0.77345616
Splenium,NowLteDetuned,QTI,0.82023424
Splenium,NowLteDetuned,QTI,0.834187
Splenium,NowLteDetuned,QTI,0.8376221
Splenium,NowLteDetuned,QTI,0.77530134
Splenium,NowLteDetuned,QTI,0.21234012
Splenium,NowLteDetuned,QTI,0.6466173
Splenium,NowLteDetuned,QTI,0.65413237
Splenium,NowLteDetuned,QTI,0.66708755
Splenium,NowLteDetuned,QTI,0.675414
Splenium,NowLteDetuned,QTI,0.72304916
Splenium,NowLteDetuned,QTI,0.7786657
Splenium,NowLteDetuned,QTI,0.8056514
Splenium,NowLteDetuned,QTI,0.8268096
Splenium,NowLteDetuned,QTI,0.7719205
Splenium,NowLteDetuned,QTI,0.71121407
Splenium,NowLteDetuned,QTI,0.61053073
Splenium,NowLteDetuned,QTI,0.5583906
Splenium,NowLteDetuned,QTI,0.6392003
Splenium,NowLteDetuned,QTI,0.7198785
Splenium,NowLteDetuned,QTI,0.7710272
Splenium,NowLteDetuned,QTI,0.81671417
Splenium,NowLteDetuned,QTI,0.7494008
Splenium,NowLteDetuned,QTI,0.6802196
Splenium,NowLteDetuned,QTI,0.5890188
Splenium,NowLteDetuned,QTI,0.64625335
Splenium,NowLteDetuned,QTI,0.72580874
Splenium,NowLteDetuned,QTI,0.7887693
Splenium,NowLteDetuned,QTI,0.7223445
Splenium,NowLteDetuned,QTI,0.6514508
Splenium,NowLteDetuned,QTI,0.5676126
Splenium,NowLteDetuned,QTI,0.43081105
Splenium,NowLteDetuned,QTI,0.54620063
Splenium,NowLteDetuned,QTI,0.65470475
Splenium,NowLteDetuned,QTI,0.72897494
Splenium,NowLteDetuned,QTI,0.67456526
Splenium,NowLteDetuned,QTI,0.6168785
Splenium,NowLteDetuned,QTI,0.5574446
Splenium,NowLteDetuned,QTI,0.5876036
Splenium,NowLteDetuned,QTI,0.68545073
Splenium,NowLteDetuned,QTI,0.6589535
Splenium,NowLteDetuned,QTI,0.61464614
Splenium,NowLteDetuned,QTI,0.5618731
Splenium,NowLteDetuned,QTI,0.43708557
Splenium,NowLteDetuned,QTI,0.52810794
Splenium,NowLteDetuned,QTI,0.6665093
Splenium,NowLteDetuned,QTI,0.7105962
Splenium,NowLteDetuned,QTI,0.68907124
Splenium,NowLteDetuned,QTI,0.60014915
Splenium,NowLteDetuned,QTI,0.5325659
Splenium,NowLteDetuned,QTI,0.48150373
Splenium,NowLteDetuned,QTI,0.46273273
Splenium,NowLteDetuned,QTI,0.6219251
Splenium,NowLteDetuned,QTI,0.7253258
Splenium,NowLteDetuned,QTI,0.7208875
Splenium,NowLteDetuned,QTI,0.6162552
Splenium,NowLteDetuned,QTI,0.5416121
Splenium,NowLteDetuned,QTI,0.48797292
Splenium,NowLteDetuned,QTI,0.5395161
Splenium,NowLteDetuned,QTI,0.6739831
Splenium,NowLteDetuned,QTI,0.57938087
Splenium,NowLteDetuned,QTI,0.46486124
Splenium,NowLteDetuned,QTI,0.57038224
Splenium,NowLteDetuned,QTI,0.53384
Splenium,NowLteDetuned,QTI,0.56308115
Splenium,NowLteDetuned,QTI,0.5803698
Splenium,NowLteDetuned,QTI,0.58812034
Splenium,NowLteDetuned,QTI,0.36925745
Splenium,NowLteDetuned,QTI,0.5058236
Splenium,NowLteDetuned,QTI,0.45963657
Splenium,NowLteDetuned,QTI,0.41478485
Splenium,NowLteDetuned,QTI,0.60949206
Splenium,NowLteDetuned,QTI,0.58932805
Splenium,NowLteDetuned,QTI,0.51953435
Splenium,NowLteDetuned,QTI,0.4464287
Splenium,NowLteDetuned,QTI,0.66225976
Splenium,NowLteDetuned,QTI,0.64100987
Splenium,NowLteDetuned,QTI,0.55711216
Splenium,NowLteDetuned,QTI,0.47639284
Splenium,NowLteDetuned,QTI,0.6539489
Splenium,NowLteDetuned,QTI,0.5720809
Splenium,NowLteDetuned,QTI,0.5034816
Splenium,NowLteDetuned,QTI,0.53471774
Splenium,NowLteDetuned,QTI,0.51630694
