ROI,Sequence,Approach,MKi
Splenium,NowLteDetuned,QTI,0.09637371
Splenium,NowLteDetuned,QTI,0.11490789
Splenium,NowLteDetuned,QTI,0.10552477
Splenium,NowLteDetuned,QTI,0.08454712
Splenium,NowLteDetuned,QTI,0.0566089
Splenium,NowLteDetuned,QTI,0.034600016
Splenium,NowLteDetuned,QTI,0.031672105
Splenium,NowLteDetuned,QTI,0.02838155
Splenium,NowLteDetuned,QTI,0.016237188
Splenium,NowLteDetuned,QTI,0.13941507
Splenium,NowLteDetuned,QTI,0.12697953
Splenium,NowLteDetuned,QTI,0.07392454
Splenium,NowLteDetuned,QTI,0.028500736
Splenium,NowLteDetuned,QTI,0.037842523
Splenium,NowLteDetuned,QTI,0.040653482
Splenium,NowLteDetuned,QTI,0.15938038
Splenium,NowLteDetuned,QTI,0.08481091
Splenium,NowLteDetuned,QTI,0.025834093
Splenium,NowLteDetuned,QTI,0.046672843
Splenium,NowLteDetuned,QTI,0.057009432
Splenium,NowLteDetuned,QTI,0.041627843
Splenium,NowLteDetuned,QTI,0.16453785
Splenium,NowLteDetuned,QTI,0.08150168
Splenium,NowLteDetuned,QTI,0.020416027
Splenium,NowLteDetuned,QTI,0.03955727
Splenium,NowLteDetuned,QTI,0.046898507
Splenium,NowLteDetuned,QTI,0.029951354
Splenium,NowLteDetuned,QTI,0.020237666
Splenium,NowLteDetuned,QTI,0.034049015
Splenium,NowLteDetuned,QTI,0.01780871
Splenium,NowLteDetuned,QTI,0.07809947
Splenium,NowLteDetuned,QTI,0.035880335
Splenium,NowLteDetuned,QTI,0.07424961
Splenium,NowLteDetuned,QTI,0.02519201
Splenium,NowLteDetuned,QTI,0.13237208
Splenium,NowLteDetuned,QTI,0.095350064
Splenium,NowLteDetuned,QTI,0.08354093
Splenium,NowLteDetuned,QTI,0.06606951
Splenium,NowLteDetuned,QTI,0.063018486
Splenium,NowLteDetuned,QTI,0.060508303
Splenium,NowLteDetuned,QTI,0.08243919
Splenium,NowLteDetuned,QTI,0.07034106
Splenium,NowLteDetuned,QTI,0.058252096
Splenium,NowLteDetuned,QTI,0.043175645
Splenium,NowLteDetuned,QTI,0.033923116
Splenium,NowLteDetuned,QTI,0.029162742
Splenium,NowLteDetuned,QTI,0.048273526
Splenium,NowLteDetuned,QTI,0.050767284
Splenium,NowLteDetuned,QTI,0.048457347
Splenium,NowLteDetuned,QTI,0.042575464
Splenium,NowLteDetuned,QTI,0.02996208
Splenium,NowLteDetuned,QTI,0.024442004
Splenium,NowLteDetuned,QTI,0.025790785
Splenium,NowLteDetuned,QTI,0.033391424
Splenium,NowLteDetuned,QTI,0.07103061
Splenium,NowLteDetuned,QTI,0.048740163
Splenium,NowLteDetuned,QTI,0.035380557
Splenium,NowLteDetuned,QTI,0.035633903
Splenium,NowLteDetuned,QTI,0.033775434
Splenium,NowLteDetuned,QTI,0.027107535
Splenium,NowLteDetuned,QTI,0.024298428
Splenium,NowLteDetuned,QTI,0.02720711
Splenium,NowLteDetuned,QTI,0.03332405
Splenium,NowLteDetuned,QTI,0.042404518
Splenium,NowLteDetuned,QTI,0.038149264
Splenium,NowLteDetuned,QTI,0.12988727
Splenium,NowLteDetuned,QTI,0.1195727
Splenium,NowLteDetuned,QTI,0.06547189
Splenium,NowLteDetuned,QTI,0.03604399
Splenium,NowLteDetuned,QTI,0.036354262
Splenium,NowLteDetuned,QTI,0.04120241
Splenium,NowLteDetuned,QTI,0.049719162
Splenium,NowLteDetuned,QTI,0.049732078
Splenium,NowLteDetuned,QTI,0.0475756
Splenium,NowLteDetuned,QTI,0.051581193
