ROI,Sequence,Approach,FA
Splenium,dti,dti,0.80648583
Splenium,dti,dti,0.8042174
Splenium,dti,dti,0.8033716
Splenium,dti,dti,0.81812966
Splenium,dti,dti,0.8352152
Splenium,dti,dti,0.79417837
Splenium,dti,dti,0.27999935
Splenium,dti,dti,0.7065845
Splenium,dti,dti,0.7785604
Splenium,dti,dti,0.78082246
Splenium,dti,dti,0.74074984
Splenium,dti,dti,0.74443907
Splenium,dti,dti,0.76225716
Splenium,dti,dti,0.79054725
Splenium,dti,dti,0.8201587
Splenium,dti,dti,0.7822487
Splenium,dti,dti,0.73885924
Splenium,dti,dti,0.65403855
Splenium,dti,dti,0.6635315
Splenium,dti,dti,0.68374234
Splenium,dti,dti,0.727856
Splenium,dti,dti,0.76336384
Splenium,dti,dti,0.79761577
Splenium,dti,dti,0.76000714
Splenium,dti,dti,0.7196428
Splenium,dti,dti,0.6557796
Splenium,dti,dti,0.7112934
Splenium,dti,dti,0.73602974
Splenium,dti,dti,0.7524572
Splenium,dti,dti,0.71266484
Splenium,dti,dti,0.6727201
Splenium,dti,dti,0.6293241
Splenium,dti,dti,0.5485381
Splenium,dti,dti,0.6652973
Splenium,dti,dti,0.69684523
Splenium,dti,dti,0.7161294
Splenium,dti,dti,0.6811366
Splenium,dti,dti,0.6474474
Splenium,dti,dti,0.62203866
Splenium,dti,dti,0.64221454
Splenium,dti,dti,0.699484
Splenium,dti,dti,0.67747515
Splenium,dti,dti,0.65675026
Splenium,dti,dti,0.6439438
Splenium,dti,dti,0.49985862
Splenium,dti,dti,0.5966097
Splenium,dti,dti,0.7241249
Splenium,dti,dti,0.71009135
Splenium,dti,dti,0.69489014
Splenium,dti,dti,0.6733454
Splenium,dti,dti,0.6436841
Splenium,dti,dti,0.5917176
Splenium,dti,dti,0.55705583
Splenium,dti,dti,0.7846417
Splenium,dti,dti,0.7754614
Splenium,dti,dti,0.75955397
Splenium,dti,dti,0.7076801
Splenium,dti,dti,0.65630585
Splenium,dti,dti,0.6049096
Splenium,dti,dti,0.69044214
Splenium,dti,dti,0.7541964
Splenium,dti,dti,0.7206081
Splenium,dti,dti,0.6198126
Splenium,dti,dti,0.7167646
Splenium,dti,dti,0.6072686
Splenium,dti,dti,0.6046634
Splenium,dti,dti,0.5999502
Splenium,dti,dti,0.62568885
Splenium,dti,dti,0.45456412
Splenium,dti,dti,0.5513306
Splenium,dti,dti,0.5206795
Splenium,dti,dti,0.47433677
Splenium,dti,dti,0.5750279
Splenium,dti,dti,0.5417255
Splenium,dti,dti,0.5193995
Splenium,dti,dti,0.49040216
Splenium,dti,dti,0.5699441
Splenium,dti,dti,0.5400889
Splenium,dti,dti,0.52125
Splenium,dti,dti,0.50329274
Splenium,dti,dti,0.5542398
